"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl1.mp",439,2.53,3.08,2.78,1.1189,"CE",1.178741301961,1.1189,0.186842,0.09636728,0.1486549454586,0.421692892415748,0.1426015989232,0.282147245669474,3.36551724137931,1.3378253041628,0.144504084014002,3,"M-Juvenile",0,0,0,91,0.001,0.929,1,0.706,192.554,1.38613941090587,281.011,43.1387045102983,-0.359883826879271,2.11,0.7433,188,267,299,308,317,0,0,0,0,FALSE,100,1250,0.0425566666666667,0.005775,0.063235,0.005775,0.0034875,0.0080625,0.0285733333333333,0.003645,0.042465,0.003645,0.0022175,0.0050725,TRUE,845.06451,"LO.KCH",0.6757798,0.443076
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl10.mp",486,3.94,3.36,3.63,0.941,"CE",1.08636144499159,0.941,0.2166749,0.06889835,0.160771569194825,0.907310832879695,0.0981164885645983,0.502713660722147,16.3243243243243,3.12545454545455,0.515204936095196,3,"M-Juvenile",0.936,0,0.936,53.1555555555556,0.999,1,1,1,0.467,0.0975726981866927,1.078,11.2004180888646,-0.997781893004115,0.072,0.2914,0,0,0,0,1.04999999999995,0,0,0,0,FALSE,100,1250,0.0508466666666667,0.01405,0.074405,0.01405,0.00889,0.01921,0.0334833333333333,0.01007,0.048785,0.01007,0.006475,0.013665,TRUE,714.03699,"ME.KCH",0.7022097,0.23881
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl100.mp",473,2.66,3.56,3.06,1.1534,"CE",1.24334466949749,1.1534,0.1928679,0.1413434,0.169079838499405,0.444358711767328,0.196497414273566,0.320428063020447,8.58823529411765,1.40259019426457,0.167565070075466,3,"M-Juvenile",0,0,0,91,0.003,0.394,1,0.351,267.784,2.49205089467725,443.413,67.560290288185,-0.0625517970401691,2.965,0.1839,288,434,474,484,487,0,0,0,0,FALSE,100,1250,0.0349233333333333,0.01062,0.0501,0.01062,0.007595,0.013645,0.0197566666666667,0.008115,0.02817,0.008115,0.0055225,0.0107075,TRUE,610.80481,"HI.KCH",0.7193143,0.4340365
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl11.mp",513,3.37,2.78,3.05,0.9115,"CE",1.17488551654677,0.9115,0.2109107,0.06530693,0.156122257350634,0.778655582186268,0.101941220030432,0.44029840110835,23.1428571428571,3.31995690816052,0.537032418952619,3,"M-Juvenile",0.998,0,0.998,39.6,1,1,1,1,0.009,0.00806126441595758,0.01,0.286324958712967,-0.999980506822612,0.002,0.0447,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0542866666666667,0.01319,0.079655,0.01319,0.00837,0.01801,0.0328,0.010135,0.04809,0.010135,0.0061775,0.0140925,TRUE,1200.396,"LO.KCH",0.6406332,0.2708652
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl12.mp",523,2.57,2.88,2.71,1.0695,"CE",1.16973864557729,1.0695,0.1560217,0.05537295,0.117066080618155,0.374297180854675,0.0848404075615941,0.229568794208135,2.83255813953488,1.36540277965187,0.154478037649743,3,"M-Juvenile",0,0,0,91,0,0.494,1,0.586,245.216,1.62377707706323,340.26,62.5114395937262,-0.349407265774379,2.614,0.5544,208,311,368,385,402,0,0,0,0,FALSE,100,1250,0.05216,0.01454,0.076545,0.01454,0.008965,0.020115,0.0362633333333333,0.009305,0.05345,0.009305,0.0055975,0.0130125,TRUE,2369.1521,"ME.KCH",0.6526719,0.4168391
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl13.mp",543,3.33,3.64,3.48,1.0367,"CE",1.01704553694108,1.0367,0.1482886,0.04444112,0.109463514553513,0.476576382298277,0.0612545424598096,0.268915462379044,4.01648351648352,1.54631083202512,0.214549938347719,3,"M-Juvenile",0,0,0,91,0.012,0.512,1,0.622,239.734,2.39944505679555,354.193,100.455946305573,-0.347710865561694,2.532,0.6793,159,290,371.5,442,474,0,0,0,0,FALSE,100,1250,0.03974,0.00838,0.05873,0.00838,0.00507,0.01169,0.02741,0.004485,0.040625,0.004485,0.0027325,0.0062375,TRUE,1359.80896,"HI.KCH",0.7255155,0.3111539
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl14.mp",463,3.03,2.78,2.9,0.9571,"CE",1.08098352944234,0.9571,0.1607902,0.08786091,0.129562779998864,0.508321586110594,0.137115391097861,0.322718488604227,29.7916666666667,3.16528925619835,0.51984126984127,3,"M-Juvenile",0.845,0,0.845,62.125,0.989,1,1,1,2.381,0.320734640645051,3.863,17.6156334413935,-0.991656587473002,0.175,0.4319,0,0,0,0,24,0,0,0,0,FALSE,100,1250,0.0402833333333333,0.01322,0.05899,0.01322,0.008045,0.018395,0.02841,0.01082,0.041525,0.01082,0.0065,0.01514,TRUE,1784.99695,"HI.KCH",0.6407808,0.3163159
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl15.mp",495,3.15,2.85,3,0.9513,"CE",1.13188683720896,0.9513,0.1468016,0.1265887,0.137068247107508,0.486218118780334,0.194926170127223,0.340572144453779,52.0714285714286,3.54242928452579,0.55970695970696,3,"M-Juvenile",0.894,0,0.894,56.7727272727273,0.992,1,1,1,1.662,0.300549639969982,2.737,15.4477980782203,-0.994470707070707,0.126,0.3902,0,0,0,0,13,0,0,0,0,FALSE,100,1250,0.0399633333333333,0.01122,0.058535,0.01122,0.00702,0.01542,0.0261566666666667,0.00577,0.03846,0.00577,0.00366,0.00788,TRUE,1861.76294,"HI.KCH",0.6494187,0.3019254
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl16.mp",540,2.73,3.89,3.23,1.1711,"CE",1.24183240592545,1.1711,0.1409578,0.1004865,0.122406368427239,0.32909091418475,0.135291659340189,0.232191286762469,2.32824427480916,1.15225512025468,0.0707421340629275,3,"M-Juvenile",0,0,0,91,0,0.117,1,0.192,313.123,1.52006133345252,389.394,27.8914807548595,-0.2789,2.949,0.2201,337.95,389.75,398,403.25,406,0,0,0,0,FALSE,100,1250,0.0452233333333333,0.01403,0.06567,0.01403,0.00918,0.01888,0.0329666666666667,0.01087,0.0479,0.01087,0.006985,0.014755,TRUE,2741.1189,"ME.KCH",0.7427398,0.4283248
"/Users/mlammens/Dropbox/RA-FL-Shore-Birds/SensitivityAnalysis/SampleSize_100/FLSNPL_2M_Ceiling_100/snpl17.mp",529,2.9,2.83,2.87,0.9875,"CE",1.14829466056511,0.9875,0.1624024,0.1082446,0.138006218981102,0.477104184911568,0.167276438374836,0.322190311643202,18.6666666666667,2.60945626477541,0.445899921404244,3,"M-Juvenile",0.455,0,0.455,91,0.842,0.998,1,1,21.838,1.15854995317163,44.148,81.0076807490521,-0.916544423440454,0.651,0.675,0,0,5,55.25,212,0,0,0,0,FALSE,100,1250,0.0292266666666667,0.00892,0.043225,0.00892,0.005075,0.012765,0.0167866666666667,0.00678,0.024855,0.00678,0.003715,0.009845,TRUE,2327.97803,"HI.KCH",0.6471001,0.3403919
