"","metapop.initab","Gen.Abar","Gen.Mu1","Gen.Tgen","EigenVal","dd.type","Rmax","GrowthRt","fec.stdev.avg","surv.stdev.avg","stdev.avg","fec.cv.avg","surv.cv.avg","cv.avg","N.maxVmin.10","N.plusVmin.SD","N.CV.10","St.First.Rep","St.First.Rep.Name","ext.risk","threshold","prob.thresh.maxt","med.time.cross","prob.50","prob.250","prob.1000","prob.Thr.50","exp.min.n","sderr.ema","n.mean","n.stdev","metapop.chng","occ.maxt","occ.stdev.maxt","quant.05","quant.25","quant.50","quant.75","quant.95","harv.avg","harv.stdev","harv.min","harv.max","use.disp.dist.func","avg.disp.dist.b","max.disp.dist.Dmax","mean.t0.disp.rate","loquart.t0.disp.rate","hiquart.t0.disp.rate","mean.t0.Ngt0.disp.rate","loquart.t0.Ngt0.disp.rate","hiquart.t0.Ngt0.disp.rate","mean.t0.nearest.disp.rate","loquart.t0.nearest.disp.rate","hiquart.t0.nearest.disp.rate","mean.t0.Ngt0.nearest.disp.rate","loquart.t0.Ngt0.nearest.disp.rate","hiquart.t0.Ngt0.nearest.disp.rate","use.corr.dist.func","avg.corr.dist.b","kch.type","ad.surv","fecund"
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl100.mp",427,2.63,2.9,2.76,1.0562,"CE",1.22326473457087,1.0562,0.2075366,0.03182535,0.1484659779919,0.516978181389726,0.0486066946833643,0.282792438036545,5.39823008849558,1.67677062081026,0.252831010452962,3,"M-Juvenile",0.002,0,0.002,91,0.043,0.919,1,0.781,163.316,1.97636691182841,277.693,98.4340795609885,-0.349665105386417,2.36,0.7273,93.85,209,297,374,394,0,0,0,0,FALSE,100,1250,0.0456233333333333,0.013185,0.06638,0.013185,0.0086475,0.0177225,0.0330966666666667,0.008445,0.04822,0.008445,0.0056475,0.0112425,TRUE,2886.45605,"ME.KCH",0.6547524,0.4014417
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl10.mp",523,3.05,3.69,3.35,1.0839,"CE",1.05013240022748,1.0839,0.1507804,0.08485799,0.122342975873158,0.424678372752158,0.116434040049538,0.270556206400848,4.77124183006536,1.39833554000378,0.16608832807571,3,"M-Juvenile",0,0,0,91,0,0.185,1,0.228,303.713,1.89837363378589,424.477,66.4312168906876,-0.188380497131931,2.734,0.4894,278,398.75,451,471,483,0,0,0,0,FALSE,100,1250,0.0402266666666667,0.009125,0.059335,0.009125,0.0055675,0.0126825,0.0260233333333333,0.00697,0.03841,0.00697,0.00411,0.00983,TRUE,1681.39697,"HI.KCH",0.7288074,0.3550461
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl11.mp",548,3.19,3.65,3.4,1.0576,"CE",1.05094470303552,1.0576,0.1832829,0.1166298,0.153614992237818,0.552249216896003,0.160715621880127,0.356482419388065,7.40909090909091,1.65088431628931,0.245534787123572,3,"M-Juvenile",0.019,0,0.019,91,0.183,0.999,1,1,105.005,1.71229873034525,207.434,93.4965306588712,-0.621470802919708,2.066,0.7657,29,137,228.5,298,314,0,0,0,0,FALSE,100,1250,0.0356866666666667,0.00905,0.052205,0.00905,0.00585,0.01225,0.02373,0.00642,0.034675,0.00642,0.00413,0.00871,TRUE,2169.71997,"LO.KCH",0.7256905,0.3318844
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl12.mp",447,3.37,3.48,3.42,1.013,"CE",1.1351452313147,1.013,0.1466977,0.05370164,0.110462847428399,0.488121037281785,0.0753731770634496,0.281747107172617,4.93939393939394,1.64843894328469,0.244838169642857,3,"M-Juvenile",0.047,0,0.047,91,0.349,1,1,0.995,81.49,1.76192857184742,136.469,94.1889090582834,-0.694700223713647,1.693,0.8279,1,56,128,214.25,300,0,0,0,0,FALSE,100,1250,0.04813,0.01478,0.06999,0.01478,0.009595,0.019965,0.0267533333333333,0.011155,0.03866,0.011155,0.0070475,0.0152625,TRUE,1740.09802,"LO.KCH",0.7124768,0.3005355
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl13.mp",467,2.59,3.79,3.1,1.198,"CE",1.17275876953197,1.198,0.189048,0.04935885,0.138158319288638,0.409325931250704,0.0670490516807277,0.238187491465716,1.44247787610619,1.08945997262331,0.042814877430262,3,"M-Juvenile",0,0,0,91,0,0.063,1,0.02,279.904,0.569736240187846,314.881,13.3187923337377,-0.325736616702356,2.937,0.2512,289,312.75,319,323,325,0,0,0,0,FALSE,100,1250,0.0525466666666667,0.014175,0.07716,0.014175,0.0087475,0.0196025,0.0305133333333333,0.009945,0.04489,0.009945,0.0058525,0.0140375,TRUE,2464.4209,"LO.KCH",0.7361603,0.461852
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl14.mp",475,3.49,4.01,3.74,1.0519,"CE",1.0222754126431,1.0519,0.1484017,0.1181051,0.134111668412745,0.492560235045458,0.157343207469976,0.324951721257717,11.5873015873016,1.81359371037281,0.28916531458446,3,"M-Juvenile",0.009,0,0.009,91,0.059,0.753,1,0.701,184.956,2.76432406775174,338.522,130.646592179238,-0.287322105263158,2.74,0.5768,87.85,247.75,368,457,482,0,0,0,0,FALSE,100,1250,0.0549,0.011905,0.0802,0.011905,0.0081025,0.0157075,0.0290666666666667,0.006505,0.04212,0.006505,0.0047325,0.0082775,TRUE,1543.92603,"HI.KCH",0.7506209,0.3012864
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl15.mp",608,3.69,4.08,3.88,1.035,"CE",1.0972515142248,1.035,0.2016796,0.1130577,0.16348807997137,0.719500287365446,0.149798392118849,0.434649339742147,13.5111111111111,1.88985024958403,0.30792261630585,3,"M-Juvenile",0.046,0,0.046,91,0.299,0.992,1,1,89.883,1.90773393316777,193.7,124.036579576644,-0.681414473684211,2.067,0.8963,1,90,183,301,390,0,0,0,0,FALSE,100,1250,0.0535766666666667,0.0154,0.07828,0.0154,0.009785,0.021015,0.03537,0.011355,0.051455,0.011355,0.0072775,0.0154325,TRUE,1585.03503,"ME.KCH",0.7547324,0.2803051
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl16.mp",427,3.68,3.5,3.59,0.9811,"CE",1.22234628826659,0.9811,0.1848167,0.08261254,0.143146855299272,0.69357804018111,0.115595268645443,0.404586654413276,30.2083333333333,3.14352783366868,0.517319520880544,3,"M-Juvenile",0.513,0,0.513,88.8695652173913,0.905,1,1,0.999,15.035,0.925557362582909,29.608,62.0013588924025,-0.930660421545667,0.611,0.7143,0,0,0,30,151.3,0,0,0,0,FALSE,100,1250,0.0463466666666667,0.014815,0.06858,0.014815,0.0083475,0.0212825,0.02971,0.010685,0.044,0.010685,0.0059075,0.0154625,TRUE,2495.96802,"HI.KCH",0.7146706,0.2664685
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl17.mp",569,2.63,2.98,2.79,1.0717,"CE",1.05424478747696,1.0717,0.1731639,0.07476679,0.133371303416654,0.424987035438595,0.112561851832615,0.268774443635605,3.2317880794702,1.39722663585151,0.165702578934683,3,"M-Juvenile",0,0,0,91,0.014,0.981,1,1,165.202,1.53143412737424,253.662,57.7673681659882,-0.55419683655536,1.949,0.7328,134,222.75,270,300,315,0,0,0,0,FALSE,100,1250,0.0502266666666667,0.0059,0.073995,0.0059,0.004295,0.007505,0.03271,0.003615,0.04813,0.003615,0.0027425,0.0044875,TRUE,2089.79907,"LO.KCH",0.6642285,0.4074569
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl18.mp",563,2.65,3.55,3.04,1.1547,"CE",1.06372071932699,1.1547,0.1994317,0.1369532,0.171068965559405,0.45722968356665,0.190610438805736,0.323920061186193,6.77777777777778,1.4000175986625,0.166672777268561,3,"M-Juvenile",0,0,0,91,0.009,0.671,1,0.823,214.356,2.17989706527974,360.487,63.5385944445105,-0.359703374777975,2.738,0.5115,212.95,352.75,387,397,405,0,0,0,0,FALSE,100,1250,0.04668,0.011435,0.068765,0.011435,0.0069725,0.0158975,0.0280266666666667,0.008195,0.04118,0.008195,0.0049575,0.0114325,TRUE,2204.7229,"ME.KCH",0.7184979,0.436174
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl19.mp",539,3.92,3.62,3.77,0.971,"CE",1.06748172145034,0.971,0.1607664,0.05877025,0.121036725116847,0.649810109084207,0.0812241113930671,0.365517110238637,8.56338028169014,2.16221374045802,0.367531683765842,3,"M-Juvenile",0.573,0,0.573,84.4,0.946,1,1,1,9.886,0.656030014084249,16.405,39.9386538465065,-0.96956400742115,0.58,0.7786,0,0,0,15,86,0,0,0,0,FALSE,100,1250,0.04101,0.009175,0.059645,0.009175,0.0064575,0.0118925,0.0242066666666667,0.005165,0.03534,0.005165,0.0035525,0.0067775,TRUE,1707.60498,"ME.KCH",0.7235567,0.2474052
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl1.mp",442,3.58,3.43,3.51,0.9832,"CE",1.21145221505594,0.9832,0.1440359,0.1470936,0.145572778447363,0.524853451162716,0.207547055335073,0.366200253248895,28.7058823529412,2.63947909527073,0.450470809792844,3,"M-Juvenile",0.633,0,0.633,77.3333333333333,0.958,1,1,1,8.292,0.586594262526347,18.513,46.7586377175512,-0.958115384615385,0.484,0.7241,0,0,0,11,113.05,0,0,0,0,FALSE,100,1250,0.0370566666666667,0.008635,0.053115,0.008635,0.0067875,0.0104825,0.02218,0.006655,0.031565,0.006655,0.0050325,0.0082775,TRUE,1199.83398,"LO.KCH",0.7087241,0.2744307
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl20.mp",502,3.66,3.41,3.53,0.9729,"CE",1.09154265936278,0.9729,0.174486,0.1104591,0.146024958429732,0.655701850805902,0.156284252896185,0.405993051851043,16.5454545454545,2.85498839907193,0.481191694252182,3,"M-Juvenile",0.64,0,0.64,78.4137931034483,0.948,1,1,1,8.546,0.681138630407815,16.34,47.4623121125707,-0.967450199203187,0.485,0.7405,0,0,0,8,104.05,0,0,0,0,FALSE,100,1250,0.0362733333333333,0.00783,0.05316,0.00783,0.005165,0.010495,0.0217366666666667,0.00509,0.031765,0.00509,0.003385,0.006795,TRUE,1123.08997,"HI.KCH",0.7067833,0.2661057
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl21.mp",482,2.99,2.79,2.88,0.9644,"CE",1.15018694275455,0.9644,0.2055586,0.0517247,0.149882925351839,0.636294017136348,0.0806484028872997,0.358471210011824,16.9767441860465,3.21992619926199,0.526058062259531,3,"M-Juvenile",0.796,0,0.796,66.9411764705882,0.98,1,1,1,3.622,0.373942440689672,7.591,28.2967564470811,-0.984251037344398,0.233,0.4909,0,0,0,0,51.0999999999999,0,0,0,0,FALSE,100,1250,0.0468633333333333,0.00919,0.06885,0.00919,0.00604,0.01234,0.0297633333333333,0.005485,0.04357,0.005485,0.0038175,0.0071525,TRUE,1040.92004,"HI.KCH",0.6413605,0.323056
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl22.mp",513,3.7,2.98,3.3,0.9102,"CE",1.11724967346457,0.9102,0.1880706,0.03848712,0.135742051314717,0.763822226193329,0.0579655418843298,0.410893884038829,25.75,4.05473965287049,0.60433174854728,3,"M-Juvenile",0.997,0,0.997,41.4545454545455,1,1,1,1,0.01,0.00582528402173954,0.011,0.202286726998881,-0.999978557504873,0.003,0.0547,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0472933333333333,0.00837,0.06898,0.00837,0.006145,0.010595,0.0292666666666667,0.006035,0.04261,0.006035,0.0043075,0.0077625,TRUE,2408.79712,"HI.KCH",0.6639655,0.246223
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl23.mp",424,3.54,2.93,3.21,0.9175,"CE",1.08503813511389,0.9175,0.1836664,0.1401642,0.163369748501061,0.708300665970706,0.212953201381055,0.46062693367588,Inf,4.65587734241908,0.646385542168675,3,"M-Juvenile",0.993,0,0.993,38.6909090909091,1,1,1,1,0.034,0.0169449441170849,0.062,1.07112245019106,-0.999853773584906,0.008,0.0997,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.05258,0.012705,0.07677,0.012705,0.0084525,0.0169575,0.0310433333333333,0.01033,0.045105,0.01033,0.006625,0.014035,TRUE,1246.42798,"LO.KCH",0.6581925,0.2593057
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl24.mp",564,2.84,2.78,2.81,0.9876,"CE",1.22201218001242,0.9876,0.212757,0.07128457,0.158661638352005,0.61225441204359,0.111358007256865,0.361806209650228,9.56862745098039,2.30177514792899,0.39426523297491,3,"M-Juvenile",0.571,0,0.571,83.7692307692308,0.933,1,1,1,11.304,0.703093111845027,24.356,54.1140239826202,-0.956815602836879,0.525,0.6796,0,0,0,21,148.1,0,0,0,0,FALSE,100,1250,0.0562366666666667,0.013365,0.08304,0.013365,0.0079975,0.0187325,0.0341033333333333,0.00848,0.05041,0.00848,0.004985,0.011975,TRUE,1737.95605,"LO.KCH",0.6401387,0.3474977
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl25.mp",581,2.83,3.13,2.98,1.0528,"CE",1.08637486474169,1.0528,0.1619185,0.07457305,0.126053045239995,0.435495410203791,0.109510085397339,0.272502747800565,3.12307692307692,1.46438046575612,0.188437001594896,3,"M-Juvenile",0,0,0,91,0.02,0.824,1,0.964,190.344,1.96784198198587,299.591,87.2232859999015,-0.484352839931153,2.453,0.6294,134.7,240.75,320,377,396.05,0,0,0,0,FALSE,100,1250,0.0406966666666667,0.012415,0.059915,0.012415,0.0073375,0.0174925,0.0279,0.00888,0.040965,0.00888,0.005325,0.012435,TRUE,1007.76099,"ME.KCH",0.6809697,0.371803
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl26.mp",596,3.66,3.91,3.78,1.0233,"CE",1.21680127522955,1.0233,0.197491,0.0464934,0.143464858631931,0.707056024660374,0.06248902086771,0.384772522764042,4.33035714285714,1.62384643779993,0.237760270118177,3,"M-Juvenile",0.031,0,0.031,91,0.35,1,1,1,78.372,1.60577773621947,144.889,95.4908434363221,-0.756897651006711,1.6,0.75,8,62.75,133,227.25,300,0,0,0,0,FALSE,100,1250,0.0529033333333333,0.01053,0.07781,0.01053,0.00681,0.01425,0.0313133333333333,0.00863,0.045715,0.00863,0.00557,0.01169,TRUE,2024.49902,"LO.KCH",0.7440251,0.2793145
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl27.mp",519,3.7,3.01,3.32,0.9151,"CE",1.14194928714819,0.9151,0.1489236,0.09381372,0.124457327420282,0.601381544994706,0.140560523731627,0.370971034363166,28.7142857142857,3.44370860927152,0.549925484351714,3,"M-Juvenile",0.998,0,0.998,44.3243243243243,1,1,1,1,0.002,0.00141350557055782,0.002,0.0446989708829856,-0.999996146435453,0.002,0.0447,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0468233333333333,0.01531,0.06842,0.01531,0.00947,0.02115,0.0341466666666667,0.011035,0.05027,0.011035,0.0064675,0.0156025,TRUE,1973.96106,"ME.KCH",0.6674258,0.2476358
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl28.mp",421,3.03,3.3,3.16,1.0413,"CE",1.16797600009176,1.0413,0.141332,0.0826017,0.115753563804511,0.410717980550383,0.118482332797401,0.264600156673892,7.8494623655914,1.85294932151759,0.298971073577946,3,"M-Juvenile",0.005,0,0.005,91,0.027,0.675,1,0.503,207.765,2.49708614473234,352.158,115.087193458256,-0.163520190023753,2.772,0.5102,138,279,380.5,455,480,0,0,0,0,FALSE,100,1250,0.0609766666666667,0.01572,0.08926,0.01572,0.010065,0.021375,0.0340766666666667,0.010535,0.049835,0.010535,0.0065475,0.0145225,TRUE,2643.03003,"HI.KCH",0.6971647,0.3441096
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl29.mp",499,4.06,3.32,3.66,0.9275,"CE",1.14943626015144,0.9275,0.1430187,0.1389645,0.141006171513767,0.626082970974999,0.198785780925594,0.412434375950297,121.75,3.63312883435583,0.568326271186441,3,"M-Juvenile",0.988,0,0.988,45.25,1,1,1,1,0.088,0.0320824762960294,0.138,1.76240235532697,-0.999723446893788,0.013,0.1218,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0359733333333333,0.01545,0.051875,0.01545,0.00981,0.02109,0.02168,0.0102,0.03116,0.0102,0.00646,0.01394,TRUE,2969.28101,"LO.KCH",0.6990666,0.2284341
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl2.mp",494,2.65,2.78,2.71,1.0281,"CE",1.07706849699654,1.0281,0.1451614,0.11737,0.131999145735796,0.373963084253719,0.183399422441045,0.278681253347382,11.3255813953488,1.70971116840414,0.261913954771098,3,"M-Juvenile",0.075,0,0.075,91,0.387,1,1,1,73.619,1.67308189938271,146.911,101.192158450801,-0.702609311740891,1.378,0.7278,0,57,143,238,300,0,0,0,0,FALSE,100,1250,0.0414866666666667,0.00706,0.06067,0.00706,0.00509,0.00903,0.0241733333333333,0.0042,0.035075,0.0042,0.003285,0.005115,TRUE,768.65747,"LO.KCH",0.6399693,0.3881704
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl30.mp",581,2.93,4.01,3.4,1.1393,"CE",1.10641253503202,1.1393,0.2024025,0.1408856,0.17437821580348,0.520822611656401,0.187668006008121,0.354245308832261,12.5384615384615,1.43949496382466,0.180158176320074,3,"M-Juvenile",0,0,0,91,0.035,0.946,1,0.998,158.628,1.83983983722133,278.517,59.0973621171809,-0.520624784853701,2.693,0.5395,138,264,305,316,324,0,0,0,0,FALSE,100,1250,0.0447433333333333,0.01563,0.065325,0.01563,0.009605,0.021655,0.02667,0.010085,0.039085,0.010085,0.0059625,0.0142075,TRUE,1054.25806,"LO.KCH",0.7507172,0.3886208
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl31.mp",430,2.66,2.86,2.75,1.0428,"CE",1.13640872174571,1.0428,0.1636975,0.03865176,0.118934498900335,0.417017901983247,0.0594372707771089,0.238227586380178,4.29577464788732,1.61299435028249,0.234594594594595,3,"M-Juvenile",0.001,0,0.001,91,0.025,0.835,1,0.626,184.425,2.04863302528107,292.732,88.6299466514758,-0.319227906976744,2.28,0.7281,116,238.75,312,374,392,0,0,0,0,FALSE,100,1250,0.0469533333333333,0.01312,0.068725,0.01312,0.008265,0.017975,0.0318333333333333,0.009375,0.046545,0.009375,0.0058925,0.0128575,TRUE,761.80029,"ME.KCH",0.650295,0.3925431
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl32.mp",456,2.68,3.54,3.06,1.1437,"CE",1.11393577403668,1.1437,0.1881675,0.1180447,0.157069346554858,0.441349176174005,0.164566748997882,0.302957962585944,5.70093457943925,1.36170121454015,0.153152825731419,3,"M-Juvenile",0,0,0,91,0.003,0.473,1,0.351,246.146,1.9595735792801,369.589,52.0628525881902,-0.189497807017544,2.893,0.325,252.8,362,391,400,405,0,0,0,0,FALSE,100,1250,0.0617033333333333,0.011725,0.09053,0.011725,0.0078875,0.0155625,0.0318033333333333,0.006465,0.046305,0.006465,0.0046325,0.0082975,TRUE,2749.71411,"ME.KCH",0.7173059,0.4263461
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl33.mp",508,3.96,3.07,3.47,0.9019,"CE",1.03338621944119,0.9019,0.1368953,0.1155676,0.126681082510077,0.600402445726185,0.171490038547108,0.385946242136646,95,3.48446521858675,0.554015941140405,3,"M-Juvenile",0.997,0,0.997,39.044776119403,1,1,1,1,0.008,0.00489489121022725,0.01,0.189567760803191,-0.99998031496063,0.003,0.0547,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.03774,0.00794,0.05458,0.00794,0.006,0.00988,0.0273733333333333,0.005295,0.03994,0.005295,0.0037675,0.0068225,TRUE,1193.43701,"LO.KCH",0.6739027,0.2280059
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl34.mp",513,2.51,3.1,2.78,1.1267,"CE",1.23035595690063,1.1267,0.1371092,0.05097424,0.103434292834189,0.305219821439463,0.0752362986347748,0.190228060037119,1.65202702702703,1.1292984869326,0.0607235142118863,3,"M-Juvenile",0,0,0,91,0,0.278,1,0.352,262,0.754179545457702,304.428,19.3246023570022,-0.406573099415205,2.615,0.5754,265.95,300,309.5,316,323,0,0,0,0,FALSE,100,1250,0.0478933333333333,0.01261,0.070005,0.01261,0.00814,0.01708,0.0281233333333333,0.007445,0.040785,0.007445,0.0051225,0.0097675,TRUE,939.39539,"LO.KCH",0.6775219,0.4492146
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl35.mp",580,3.13,3.39,3.25,1.0361,"CE",1.1158142862008,1.0361,0.1768329,0.1283865,0.154520173285982,0.533786182339794,0.1821527181987,0.357969450269247,38.3684210526316,2.05954198473282,0.346307385229541,3,"M-Juvenile",0.05,0,0.05,91,0.311,0.962,1,0.981,103.677,2.39991672173667,225.48,152.745352606038,-0.611241379310345,1.778,0.8494,0.950000000000003,86,212.5,370.25,454,0,0,0,0,FALSE,100,1250,0.03585,0.00776,0.052955,0.00776,0.0047,0.01082,0.02527,0.00563,0.03745,0.00563,0.00327,0.00799,TRUE,1856.46997,"HI.KCH",0.7048289,0.3312804
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl36.mp",566,3.72,2.98,3.31,0.909,"CE",1.08382487383951,0.909,0.1589888,0.1439607,0.15166100631001,0.649899973756907,0.21669716056751,0.433298567162209,95,4.31827515400411,0.623938223938224,3,"M-Juvenile",0.997,0,0.997,37.7222222222222,1,1,1,1,0.006,0.00373871341212161,0.006,0.11822849900924,-0.999989399293286,0.003,0.0547,0,0,0,0,0,0,0,0,0,FALSE,100,1250,0.0347,0.01175,0.050635,0.01175,0.00729,0.01621,0.0228333333333333,0.00773,0.03322,0.00773,0.004895,0.010565,TRUE,1053.39502,"LO.KCH",0.6643405,0.2446358
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl37.mp",436,2.78,3.45,3.08,1.1098,"CE",1.14020595840923,1.1098,0.1573851,0.04067861,0.114945245690159,0.39376585126401,0.0572852725206198,0.225525561892315,2.00549450549451,1.24354390807656,0.10855321672102,3,"M-Juvenile",0,0,0,91,0,0.003,1,0,381.911,1.18883405292976,462.06,37.0319289770836,0.0597706422018349,2.991,0.0945,376.95,459,477,484,487,0,0,0,0,FALSE,100,1250,0.0420733333333333,0.009965,0.06054,0.009965,0.0075525,0.0123775,0.0262833333333333,0.00628,0.037785,0.00628,0.00478,0.00778,TRUE,2164.91211,"HI.KCH",0.7101059,0.3996921
"/home/mlammens/Projects/SnowyPlover/SampleSize_100_Unif/FLSNPL_2M_Ceiling/snpl38.mp",600,3.51,3.34,3.42,0.9788,"CE",1.16437718181335,0.9788,0.2154598,0.06296867,0.158726145952091,0.7734069241988,0.0899270314627011,0.431666977830751,10.7058823529412,2.44003733084461,0.418610960390667,3,"M-Juvenile",0.575,0,0.575,83.76,0.93,1,1,1,10.818,0.715833285963494,22.099,52.9885363449868,-0.963168333333333,0.563,0.7514,0,0,0,18,124.05,0,0,0,0,FALSE,100,1250,0.0379833333333333,0.012585,0.055345,0.012585,0.0079225,0.0172475,0.0213766666666667,0.009505,0.031055,0.009505,0.0057625,0.0132475,TRUE,694.85663,"HI.KCH",0.7002196,0.2785853
