"samp.slr","part.num","mean_cor","sd_cor"
"lhs.2m","100",0.910238095238095,0.0531702955331295
"lhs.2m","250",0.941071428571429,0.0385004019013654
"lhs.2m","500",0.930952380952381,0.0385468221893205
"lhs.2m","1000",0.926190476190476,0.0411628650155236
"lhs.nocc","100",0.918333333333333,0.0680418025304419
"lhs.nocc","250",0.979761904761905,0.0250297805065125
"lhs.nocc","500",0.996428571428571,0.00872256067934576
"lhs.nocc","1000",0.995238095238095,0.0100389766989472
"lhs.relEnds","100",0.806666666666667,0.0858317830767986
"lhs.relEnds","250",0.940476190476191,0.0309735064565709
"lhs.relEnds","500",0.953571428571429,0.0374275765618033
"lhs.relEnds","1000",0.983333333333333,0.0115010926557059
"unif.2m","100",0.914285714285714,0.0551936262594669
"unif.2m","250",0.942261904761905,0.0340527204013222
"unif.2m","500",0.946428571428572,0.0297932166114504
"unif.2m","1000",0.930952380952381,0.0285052142794729
"unif.nocc","100",0.916190476190476,0.0598217650913409
"unif.nocc","250",0.980357142857143,0.0228038527136781
"unif.nocc","500",0.994047619047619,0.0105776585314123
"unif.nocc","1000",0.995238095238095,0.0100389766989472
"unif.relEnds","100",0.794285714285714,0.0881514452206362
"unif.relEnds","250",0.932142857142857,0.0339083492635095
"unif.relEnds","500",0.955952380952381,0.0364584132524314
"unif.relEnds","1000",0.978571428571429,0.0208475008516884
